unique_1.4,corrected_1.4,unique_4.1.1,corrected_4.1.1,unique_4.1.2,corrected_4.1.2,unique_4.2.1,corrected_4.2.1,unique_4.2.2,corrected_4.2.2,unique_4.5.1,corrected_4.5.1,unique_4.5.2,corrected_4.5.2,unique_4.5.3,corrected_4.5.3,unique_4.5.4,corrected_4.5.4,unique_5.3,corrected_5.3,unique_5.5,corrected_5.5,unique_5.7,corrected_5.7,unique_5.9,corrected_5.9,unique_4.3.4,corrected_4.3.4,unique_4.3.3, corrected_4.3.3,unique_4.3.1,corrected_4.3.1,unique_4.3.2,corrected_4.3.2
,,,,,,,,,,,,,,,,,,,,China (Wenzhou),"China, single country",,,,,75 indoors,75 indoors ,multiple households,multiple households ,,,bubbles,bubble
,,,,,,,,,,,,,,,,,,,,China (Ruili),"China, single country",,,,,exhibitions,some events ,50 people Greater Abidjan,,,,guidelines,
,,,,,,,,,,,,,,,,,,,,some countries,multiple countries,,,,,sports 500,"500, some events ",Mass gatherings,,,,indoor 20,20 indoors
,,,,,,,,,,,,,,,,,,,,Dec-18,,,,,,1000 indoors,1000 indoors ,public events,some gatherings,,,indoor 10,10 indoors
,,,,,,,,,,,,,,,,,,,,China (Foshan),"China, single country",,,,,all indoors,,age group,,,,outdoor 25,35 outdoors 
,,,,,,,,,,,,,,,,,,,,quarntine,quarantine,,,,,>10 outdoors,10 outdoors ,>9,9,,,Weddings limit 50,50 weddings
,,,,,,,,,,,,,,,,,,,,all travellers >2,"age group, 2",,,,,alll events,all events ,<3,3,,,shareholder meetings limit 20,
,,,,,,,,,,,,,,,,,,,,uarantine,quarantine,,,,,20 outdoors,20 outdoors ,>1000,1000,,,tour 30,
,,,,,,,,,,,,,,,,,,,,Kazkhstan,"Kazakhstan, single country",,,,,limits,,no limit,no limit,,,board mtg 50,
,,,,,,,,,,,,,,,,,,,,positive travellers,symptomatic,,,,,no limit,no limit,<500,500,,,Quarantine funeral exception,
,,,,,,,,,,,,,,,,,,,,isolation,quarantine,,,,,recreation,,cultural events,some events ,,,50 funerals and weddings,"50 funerals, 50 weddings"
,,,,,,,,,,,,,,,,,,,,Covid test high risk countries,"pcr-test, high-risk countries",,,,,some gatherings,some gatherings,All gatherings except religious services,all gatherings ,,,20 family members other events,20
,,,,,,,,,,,,,,,,,,,,high-risk  countries,high-risk countries,,,,,20% capacity,20% capacity,150 indoors,150 indoors ,,,christenings and funerals,"baptism, funerals"
,,,,,,,,,,,,,,,,,,,,"Covid passport, isolation","covid-pass, quarantine",,,,,indoors 50,50 indoors ,outdoor 25,25 outdoors,,,>350 ceremony receptions,350 weddings
,,,,,,,,,,,,,,,,,,,,no countries,,,,,,youth sports,some events ,outdoor 50,50 outdoors,,,150 baptisms,150 baptisms
,,,,,,,,,,,,,,,,,,,,multiple counries,multiple countries,,,,,contact sports,some events ,choir,some gatherings,,,2500,2500
,,,,,,,,,,,,,,,,,,,,multiple travellers,some travellers,,,,,indoors >25,25 indoors ,<30,30,,,Funerals 50,50 funerals
,,,,,,,,,,,,,,,,,,,,some travellers,some travellers,,,,,outdoors >100,100 outdoors ,50% occupancy,50% capacity ,,,christmas parties,
,,,,,,,,,,,,,,,,,,,,unvacinated,unvaccinated,,,,,>25% capacity,25% capacity ,age groups,,,,30 weedings,30 weddings
,,,,,,,,,,,,,,,,,,,,all traveller,all travellers,,,,,<250,250,retail,,,,political rallies,
,,,,,,,,,,,,,,,,,,,,som travellers,some travellers,,,,,>25 indoors,25 indoors ,public transport,,,,>10 wedding and funerals,"10 weddings, 10 funerals"
,,,,,,,,,,,,,,,,,,,,quaarantine,quarantine,,,,,catered events: >50 inddors,,50 religion,"50, some gatherings ",,,100 baptisms,100 baptisms
,,,,,,,,,,,,,,,,,,,,"China (Shenyang, Lianoning)","single country, China, zones",,,,,religious event,some events ,600,600,,,large gatherings,
,,,,,,,,,,,,,,,,,,,,xome travellers,some travellers,,,,,political gatherings,some gatherings ,0.25,25% capacity,,,weddings 400,400 weddings
,,,,,,,,,,,,,,,,,,,,"some travellers, non-covid","some travellers, non-covid",,,,,50% outdoor,50% capacity outdoors ,Religious events,some gatherings,,,30 baptisms,30 baptisms
,,,,,,,,,,,,,,,,,,,,random testing,screening,,,,,all  gatherings,all gatherings ,>30 organised events,"30, some gatherings ",,,Safar month mourning ceremonies,
,,,,,,,,,,,,,,,,,,,,non-covid,non-covid,,,,,All gatherings except religious services,all gatherings ,6 indoors,6 indoors,,,15 outside,15 outdoors 
,,,,,,,,,,,,,,,,,,,,Covid-passs,covid-pass,,,,,50% occupancy,50% capcity ,lifted,,,,1 household,1 household 
,,,,,,,,,,,,,,,,,,,,resident,residents,,,,,outdoors: 75,75 outdoors ,vaccine,vaccinated ,,,2 households outdoors,2 households outdoors
,,,,,,,,,,,,,,,,,,,,>12,age group,,,,,>30 outdoors,30 outdoors ,>0,all gatherings ,,,3 households outdoors,3 households outdoors
,,,,,,,,,,,,,,,,,,,,Ukranians,"single country, Ukraine",,,,,business,,>75 indoors,75 indoors,,,10 burials,10 burials
,,,,,,,,,,,,,,,,,,,,pcr-residents,"pcr-test, residents",,,,,Vaccinated,vaccinated ,unless social distancing,all,,,all burials,burials
,,,,,,,,,,,,,,,,,,,,Ucrania,"single country, Ukraine",,,,,recovered,covid-pass,8/1000 sq ft,,,,age group,
,,,,,,,,,,,,,,,,,,,,mutlple countries,multiple countries,,,,,Covid pass,covid-pass,limit 25 indoor,25 indoors ,,,Social and Cultural Events,
,,,,,,,,,,,,,,,,,,,,pcr tests,pcr-test,,,,,2000 outdoors,2000 outdoors ,indoors >10,10 indoors ,,,Funerals <10,10 funerals
,,,,,,,,,,,,,,,,,,,,screening all travellers,"screening, all travellers",,,,,outdoors 250,250 outdoors ,outdoors >25,25 outdoors ,,,Religious 20% capacity,religion 20% capacity 
,,,,,,,,,,,,,,,,,,,,some travellers.,some travellers,,,,,mass events,all events ,bars,,,,weddings 25% capacity,weddings 25% capacity 
,,,,,,,,,,,,,,,,,,,,antigren-test,Antigen test,,,,,All Mass Gatherings. No threshold,all gatherings ,two households,2 households,,,Funeral 25% capacity,25% capacity funerals 
,,,,,,,,,,,,,,,,,,,,random screening,Screening,,,,,Weddings,,3 households,3 households,,,50 weddings & funerals,"50 weddings, 50 funerals"
,,,,,,,,,,,,,,,,,,,,unvaccinate,Unvaccinated,,,,,15 outdoors,15 outdoors ,>50 without social distancing,50,,,family/social 50/100,"50 indoors, 100 outdoors"
,,,,,,,,,,,,,,,,,,,,all travelllers,All travellers,,,,,political rallies,some events ,>100 with social distancing,100,,,weddings 100/200,"weddings 100 indoors, weddings 200 outdoors "
,,,,,,,,,,,,,,,,,,,,alll travellers,All travellers,,,,,50% outdoors,50% capacity outdoors ,25 people,25,,,1 shopping,
,,,,,,,,,,,,,,,,,,,,news,news,,,,,indoors 300,300 indoors ,outdoor 100%,100% capacity outdoors ,,,all sports,sports
,,,,,,,,,,,,,,,,,,,,vaccinted,vaccinated,,,,,>5000,5000,Thanksgiving,public holiday ,,,recreation,
,,,,,,,,,,,,,,,,,,,,RT-PCR test,"antigen test, pcr-test",,,,,all gatheings,all gatherings ,>1000 outdoors,1000 outdoors,,,funerals >250,250 funerals
,,,,,,,,,,,,,,,,,,,,no policy,no policy,,,,,Halloween,,red zones,zones,,,funerals max 250,250 funerals
,,,,,,,,,,,,,,,,,,,,pct-test,pcr-test,,,,,5000 indoors,5000 indoors ,<4,4,,,>10 people,10
,,,,,,,,,,,,,,,,,,,,mutliple country,multiple countries,,,,,live venues,some events ,religious 50,"50, some gatherings",,,Recreation,
,,,,,,,,,,,,,,,,,,,,al countries,all countries,,,,,non-essential gatherings,all gatherings ,All gatherings (except religious),all gatherings ,,,some events,
,,,,,,,,,,,,,,,,,,,,vaccianted,vaccinated,,,,,000 people,1000,120,120,,,>8 outdoor weddings,8 weddings 
,,,,,,,,,,,,,,,,,,,,all tarvellers,all travellers,,,,,<50 Meetings,50,all indoor gatherings,,,,>40 indoor weddings,40 weddings
,,,,,,,,,,,,,,,,,,,,uinvaccinated,unvaccinated,,,,,amusement parks,,indoor events,,,,>50 weddings and celebrations,50 weddings
,,,,,,,,,,,,,,,,,,,,mutlitple countries,multiple countries,,,,,arcades,,> 10,10,,,70 outdoors,70 outdoors 
,,,,,,,,,,,,,,,,,,,,new,news,,,,,bowling alleys,,outdoors >15,15 outdoors,,,Funeral >30,30 funerals
,,,,,,,,,,,,,,,,,,,,pcrt-test,pcr-test,,,,,zoos,,75 outdoors,75 outdoors,,,Marriage >15,15 weddings 
,,,,,,,,,,,,,,,,,,,,quarantine unvaccinated,"quarantine, unvaccinated",,,,,theaters etc,,limited to capacity,no limit,,,wedding 15 or 30,15 weddings
,,,,,,,,,,,,,,,,,,,,quarantine vaccinated,"quarantine, vaccinated",,,,,theme parks,,outdoor events,,,,funerals 30,30 funerals
,,,,,,,,,,,,,,,,,,,,positive,symptomatic travellers,,,,,concert and music halls,some events ,300 outdoors,300 outdoors ,,,10 wake,10 funerals
,,,,,,,,,,,,,,,,,,,,,,,,,,>50%,50% capacity ,pcr-test,pcr-test ,,,30 funeral/wedding,"30 funerals, 30 weddings"
,,,,,,,,,,,,,,,,,,,,,,,,,,social distancing,,sport events,some gatherings,,,wedding 30 or 30% venue,30 weddings 
,,,,,,,,,,,,,,,,,,,,,,,,,,75% capacity indoors; 100% outdoors,"75% capacity indoors,  100% capacity outdoor gatherings ",states,zones,,,wedding 50 home or 30% venue,50 weddings
,,,,,,,,,,,,,,,,,,,,,,,,,,stadiums,some events ,50% outdoors,50% capacity outdoors,,,religious ceremonies,religion
,,,,,,,,,,,,,,,,,,,,,,,,,,non-contact sports,some events ,outdoor 200,200 outdoors ,,,14,14
,,,,,,,,,,,,,,,,,,,,,,,,,, indoor gatherings,,event spaces,,,,Outdoor sports grounds,sports 
,,,,,,,,,,,,,,,,,,,,,,,,,,40%,40% capacity ,>5 indoor,5 indoors ,,,Children's playgrounds,
,,,,,,,,,,,,,,,,,,,,,,,,,,outdoors 100,100 outdoors ,10 religious,"10, some gatherings ",,,funeral ceremonies ,funerals
,,,,,,,,,,,,,,,,,,,,,,,,,,social gatherings,some gatherings,festivals,some gatherings,,,<15,15
,,,,,,,,,,,,,,,,,,,,,,,,,,"indoor gatherings: <200
outdoor gatherings: unlimited","200 indoors, no limit, outdoors ",10 sports,"10, some gatherings ",,,>50 outdoors,50 outdoors 
,,,,,,,,,,,,,,,,,,,,,,,,,,Mosques,some gatherings ,10% capacity,10% capacity,,,>25 indoors,25 indoors 
,,,,,,,,,,,,,,,,,,,,,,,,,,all public gatherings,some gatherings ,large events,,,,wedding >50,50 weddings
,,,,,,,,,,,,,,,,,,,,,,,,,,<50 inside,50 indoors ,1000 indoor,1000 indoors ,,,funeral >25,25 funerals
,,,,,,,,,,,,,,,,,,,,,,,,,,<100 outside,100 outdoors ,some gatherings,some gatherings,,,75 funerals,75 funerals
,,,,,,,,,,,,,,,,,,,,,,,,,,Religious festivals,some events ,200 indoors,200 indoors ,,,25 public spaces,25
,,,,,,,,,,,,,,,,,,,,,,,,,,pilgrimage,,music,some gatherings,,,< 5 people,5
,,,,,,,,,,,,,,,,,,,,,,,,,,100% capacity,100% capacity ,Friday prayers,some gatherings,,,Weddings and funerals <10,"10 weddings, 10 funerals"
,,,,,,,,,,,,,,,,,,,,,,,,,,public shows,,15 sports training,15 sports,,,Parks,
,,,,,,,,,,,,,,,,,,,,,,,,,,age group,,>20 indoors,20 indoors,,,Weddings 200/hall,200 weddings
,,,,,,,,,,,,,,,,,,,,,,,,,,music event,some events ,10000,10000,,,30/home,30
,,,,,,,,,,,,,,,,,,,,,,,,,,meetings,,100 religion,"100, some gatherings",,,tent,
,,,,,,,,,,,,,,,,,,,,,,,,,,2500 outdoor,2500 outdoors ,Outdoor groups,,,,Immediate family only at funerals,household
,,,,,,,,,,,,,,,,,,,,,,,,,,non-covid,non-covid,>100 indoors,100 indoors,,,at home,household
,,,,,,,,,,,,,,,,,,,,,,,,,,Football league,some events ,all indoor events,,,,funerals >30,30 funerals
,,,,,,,,,,,,,,,,,,,,,,,,,,800,800,religion 50%,"50% capcaity, some gatherings",,,>6 indoors,6 indoors 
,,,,,,,,,,,,,,,,,,,,,,,,,,400 outdoors,400 outdoors ,masks,,,,indoors >6,6 indoors 
,,,,,,,,,,,,,,,,,,,,,,,,,,2000 indoors,2000 indoors ,indoors 10,10 indoors,,,outdoors >15,15 outdoors 
,,,,,,,,,,,,,,,,,,,,,,,,,,2500 outdoors,2500 outdoors ,indoors 5,5 indoors ,,,weddings >25,25 weddings 
,,,,,,,,,,,,,,,,,,,,,,,,,,4000 indoors,4000 indoors ,500 indoors,500 indoors ,,,Christmas Bubble,household
,,,,,,,,,,,,,,,,,,,,,,,,,,all gathergins,all gatherings ,<20. <50,"20, 50 ",,,three households,3 households outdoors
,,,,,,,,,,,,,,,,,,,,,,,,,,all gatehrings,all gatherings ,5 religion,"5, some gatherings",,,private gardens,
,,,,,,,,,,,,,,,,,,,,,,,,,,live performances,some events ,50% capacity indoors,50% capacity indoors ,,,immeditate family only,household
,,,,,,,,,,,,,,,,,,,,,,,,,,PCR test,pcr-test ,>6 indoors,6 indoors,,,>6 adults,6
,,,,,,,,,,,,,,,,,,,,,,,,,,100/500,"100 indoors, 500 outdoors ",cinemas,,,,>20 weddings,20 weddings
,,,,,,,,,,,,,,,,,,,,,,,,,,25% indoors,25% capacity indoors ,places of worship,some gatherings,,,social bubble indoors,household
,,,,,,,,,,,,,,,,,,,,,,,,,,political events,some events ,<25 people or 25% of full capacity of meetings and social events in some counties,"25, some gatherings",,,>150 indoor/25% capacity funerals/weddings,150 indoors 
,,,,,,,,,,,,,,,,,,,,,,,,,,700,700,houseold only,household,,,gradutaion parties >10,10
,,,,,,,,,,,,,,,,,,,,,,,,,,indoors 200,200 indoors ,>100 without permission,100,,,Funerals 15,15 funerals 
,,,,,,,,,,,,,,,,,,,,,,,,,,indoor sports,some events ,up to 66% with permission,66% capacity,,,150 religious,150 religion
,,,,,,,,,,,,,,,,,,,,,,,,,,>500 by special arrangement,500,5000 indoors,5000 indoors,,,2 hours indoors,religion
,,,,,,,,,,,,,,,,,,,,,,,,,,2m,,>250 outdoor,250 outdoors ,,,150 religion,150 religion
,,,,,,,,,,,,,,,,,,,,,,,,,,Demonstrations,some events ,indoors >75,75 indoors ,,,25 religious services,25 religion
,,,,,,,,,,,,,,,,,,,,,,,,,,unvaccinated,unvaccinated ,outdoors >150,150 outdoors,,,funerals 20 indoors or 30 outdoors,"20 indoors, funerals, 30 oudoors, funerals"
,,,,,,,,,,,,,,,,,,,,,,,,,,Cultural events,some events ,<10 indoors,10 indoors,,,Weddings >10,10 weddings 
,,,,,,,,,,,,,,,,,,,,,,,,,,Friday prayer,some gatherings ,indoor: 75% capacity,75% capacity indoors ,,,Funnerals >20,20 funerals 
,,,,,,,,,,,,,,,,,,,,,,,,,,wakes,,outdoor: 100% capacity,100% capacity outdoors ,,,Social gatherings,all gatherings
,,,,,,,,,,,,,,,,,,,,,,,,,,St Patrick's Day,,indoor: 25%,25% capacity indoors ,,,funnerals,funerals 
,,,,,,,,,,,,,,,,,,,,,,,,,,social events,some events ,indoor: 50%,50% capacity indoors ,,,outdoor activities,outdoors
,,,,,,,,,,,,,,,,,,,,,,,,,,200 stadia,"200, some events ",33% capacity religious events,"33% capacity, some gatherings",,,>20 at weddings,20 weddings
,,,,,,,,,,,,,,,,,,,,,,,,,,300 indoor,300 indoors ,phase 1 25,"25, zones",,,20 indoor funerals,20 indoor funerals
,,,,,,,,,,,,,,,,,,,,,,,,,,10000 outdoors,10000 outdoors,phase 2 50 indoor,"50, zones",,,2 holidays,2
,,,,,,,,,,,,,,,,,,,,,,,,,,Passover,public holiday ,percentage of max occupancy,,,,30 indoors,30 indoors
,,,,,,,,,,,,,,,,,,,,,,,,,,indoors 400,400 indoors ,max 50% occupancy,50% capacity,,,Same houseold only,household
,,,,,,,,,,,,,,,,,,,,,,,,,,politcal rallies,some events ,>250 with restrictions,250,,,Funerals and memorial services,funerals
,,,,,,,,,,,,,,,,,,,,,,,,,,vaccinated individuals,vaccinated ,Public events and gatherings,all,,,all private gatherings,all gatherings
,,,,,,,,,,,,,,,,,,,,,,,,,,negative COVID test,pcr-test ,Beaches,,,,funerals and marriage,"funerals, weddings"
,,,,,,,,,,,,,,,,,,,,,,,,,,religious events,some events ,Cinemas,,,,Funerals open spaces,funerals outdoors
,,,,,,,,,,,,,,,,,,,,,,,,,,500 outside,500 outdoors ,museums,,,,300 people,300
,,,,,,,,,,,,,,,,,,,,,,,,,,indoors 100,100 indoors ,Authorised by local authorities,,,,weddings > 20,20 weddings
,,,,,,,,,,,,,,,,,,,,,,,,,,outdoors 300,300 outdoors ,150 conferences,"150, some gatherings",,,Funderal,funerals
,,,,,,,,,,,,,,,,,,,,,,,,,,arts,some events ,2 household bubble,2 households,,,Traditional ceremonies,
,,,,,,,,,,,,,,,,,,,,,,,,,,All  events,all events ,capacity limits,capacity cap ,,,>15 indoors,15 indoors 
,,,,,,,,,,,,,,,,,,,,,,,,,,outdoor communal sports,some events ,private gatherings,,,,"indoor weddings: 0
outdoor weddings: <1000","1000 outdoors, 0 indoors, weddings"
,,,,,,,,,,,,,,,,,,,,,,,,,,event centres,,200  green zones,"200, zones",,,funerals 12,12 funerals
,,,,,,,,,,,,,,,,,,,,,,,,,,elections,,100 red zones,"100, zones",,,Tourists,
,,,,,,,,,,,,,,,,,,,,,,,,,,150 sports,"150, some events ",Kurdistan,,,,Non-essential gatherings,all
,,,,,,,,,,,,,,,,,,,,,,,,,,all gatherings ,all gatherings ,outdoors 250,250 outdoors ,,,non-essential meetings,some gatherings 
,,,,,,,,,,,,,,,,,,,,,,,,,,all public events,some events ,Ramadan gatherings,public holiday ,,,indoor gatherings,indoors
,,,,,,,,,,,,,,,,,,,,,,,,,,outdoor 1000,1000 outdoors ,Social Gatherings,some gatherings,,,>25 people,25
,,,,,,,,,,,,,,,,,,,,,,,,,,indoor 500,500 indoors ,churches,,,,Resturants,
,,,,,,,,,,,,,,,,,,,,,,,,,,private gatherings,,50 for business gatherings,"50, some gatherings",,,Social activities,
,,,,,,,,,,,,,,,,,,,,,,,,,,20 indoors,20 indoors ,international events,,,,>25 weddings,25 weddings 
,,,,,,,,,,,,,,,,,,,,,,,,,,protests,some gatherings ,mass gatherings,,,,Matai Title ceremonies,
,,,,,,,,,,,,,,,,,,,,,,,,,,election campaign,some gatherings,50 religious,"50, some gatherings",,,50 couples,50
,,,,,,,,,,,,,,,,,,,,,,,,,,theatre,,50% indoors,50% capacity indoors ,,,5 other,5
,,,,,,,,,,,,,,,,,,,,,,,,,,all gatheringa,all gatherings ,weekends,,,,Celebrations >5,5
,,,,,,,,,,,,,,,,,,,,,,,,,,All  gatherings,all gatherings ,during curfew,,,,large events,
,,,,,,,,,,,,,,,,,,,,,,,,,,6>,,fitness groups >20,"20, some gatherings",,,All Gatherings,all
,,,,,,,,,,,,,,,,,,,,,,,,,,5 religious gatherings,some gatherings,Zones,zones,,,48 weddings,48 weddings
,,,,,,,,,,,,,,,,,,,,,,,,,,50 religious gatherings,"50, some gatherings ",indoor spaces,indoors ,,,>20 at Weddings and Funerals,"20 weddings, 20 funerals"
,,,,,,,,,,,,,,,,,,,,,,,,,,Large gatherings,all gatherings ,6 indoor sports,"6 indoors, some gatherings ",,,Weddings: up to 10 ppl,10 weddings 
,,,,,,,,,,,,,,,,,,,,,,,,,,Entertainment,,any gathering,all,,,Funerals: up to 20 ppl,20 funerals
,,,,,,,,,,,,,,,,,,,,,,,,,,Cultural gatherings,some events ,100% capacity outdoor; 75% indoor,"100% capacity outdoors, 75% capacity indoors ",,,weddings 250,250 weddings
,,,,,,,,,,,,,,,,,,,,,,,,,,music events,some events ,non-essential businesses,,,,>5 weddings,5 weddings 
,,,,,,,,,,,,,,,,,,,,,,,,,,All public gatherings,some gatherings ,25 sports,25 sports ,,,<8 gatherings,8
,,,,,,,,,,,,,,,,,,,,,,,,,,<50 people,50,ski groups,,,,>100 weddings and funerals,"100 weddings, 100 funerals "
,,,,,,,,,,,,,,,,,,,,,,,,,,Region 1,zones,beaches and parks,,,,Foreign workers,
,,,,,,,,,,,,,,,,,,,,,,,,,,Conventions,some events ,indoor sports events,"indoors, some gatherings ",,,50 Funerals,50 funerals 
,,,,,,,,,,,,,,,,,,,,,,,,,,indoors >75,75 indoors ,30% capcaity,30% capacity ,,,<50,50
,,,,,,,,,,,,,,,,,,,,,,,,,,outdoors >150,150 outdoors ,0.3,30% capacity ,,,40 outdoors,40 outdoors 
,,,,,,,,,,,,,,,,,,,,,,,,,,multiple counties,zones,all performances,some gatherings,,,funerals 50 indoors,"50 indoors, funerals"
,,,,,,,,,,,,,,,,,,,,,,,,,,graduation,some events ,"outdoor
50 place of worship","50 outdoors, some gatherings ",,,10 weddings and funerals,"10 weddings, 10 funerals"
,,,,,,,,,,,,,,,,,,,,,,,,,,> 500 outdoors,500 outdoors ,same household,household,,,Non-contact sports,sports 
,,,,,,,,,,,,,,,,,,,,,,,,,,large venues,,>250 outdoors,250 outdoors ,,,1/3 capacity,33% capacity
,,,,,,,,,,,,,,,,,,,,,,,,,,areanas,some events ,indoors: household,household indoors,,,all gatherings outside the home,all
,,,,,,,,,,,,,,,,,,,,,,,,,,66% capacity or >250,250,outdoors 10,10 outdoors,,,>5 in public places,5
,,,,,,,,,,,,,,,,,,,,,,,,,,Concert halls,some events ,indoors: 10,10 indoors,,,all gatherins,all
,,,,,,,,,,,,,,,,,,,,,,,,,,>1000 outdoors,1000 outdoors ,outdoors: 25,25 outdoors ,,,partial curfew,
,,,,,,,,,,,,,,,,,,,,,,,,,,economic,,>10 christmas gatherings,"10, public holiday ",,,all social gatherings,some gatherings 
,,,,,,,,,,,,,,,,,,,,,,,,,,50 Sports events,"50, some events ",0 indoor sports,"indoors, some gatherings ",,,social events,some gatherings 
,,,,,,,,,,,,,,,,,,,,,,,,,,50% capacity up to 150,150,>8 indoor,8 indoors ,,,10 private gatherings,10
,,,,,,,,,,,,,,,,,,,,,,,,,,2000 seated outdoors,2000 outdoors ,6 unvaccinated,"6, unvaccinated ",,,indoor 15,15 indoors 
,,,,,,,,,,,,,,,,,,,,,,,,,,congregational prayers,some gatherings ,Quarantined regions,zones,,,1500 outdoors,1500 outdoors
,,,,,,,,,,,,,,,,,,,,,,,,,,Live performances,some events,All regions,zones ,,,50% indoors,50% capacity indoors 
,,,,,,,,,,,,,,,,,,,,,,,,,,Public gatherings,some events ,Number allowed varies,zones,,,indoor 25,25 indoors 
,,,,,,,,,,,,,,,,,,,,,,,,,,Khmer New Year,public holiday ,mobility pass,,,,cemeteries,
,,,,,,,,,,,,,,,,,,,,,,,,,,Authorised by local authorities,,crowd prevention,,,,wedings,weddings
,,,,,,,,,,,,,,,,,,,,,,,,,,Religious Mass gatherings,some events ,group activities,all,,,Unnecessary gatherings,all
,,,,,,,,,,,,,,,,,,,,,,,,,,recreational,,Public spaces,,,,eating out,
,,,,,,,,,,,,,,,,,,,,,,,,,,sporting events ,some events ,>8/room Karaoke and party rooms,,,,hotels: banquets 40,40 banquets
,,,,,,,,,,,,,,,,,,,,,,,,,,120,120,Team sports >4,"4, some gatherings ",,,hotel room 4,4
,,,,,,,,,,,,,,,,,,,,,,,,,,PCR-test,pcr-test ,religious 50%,"50% capacity, some gatherings",,,weddings/ceremonies 20,20 weddings 
,,,,,,,,,,,,,,,,,,,,,,,,,,all festivals,some events ,Skating >4,,,,>15 funerals,15 funerals
,,,,,,,,,,,,,,,,,,,,,,,,,,>12,,4 exc tours 30,,,,indoors 250,250 indoors 
,,,,,,,,,,,,,,,,,,,,,,,,,,<1000,1000,weddings and business meetings w/o food 50,,,,indoors 450 vaccinated,"450 indoors, vaccinated "
,,,,,,,,,,,,,,,,,,,,,,,,,,60%,60% capacity ,5 indoors family,5 indoors ,,,outdoors 350,350 outdoors 
,,,,,,,,,,,,,,,,,,,,,,,,,,> 10,10,350 outdoors,350 outdoors,,,outdoors 500 vaccinated,"500 outdoors, vaccinated "
,,,,,,,,,,,,,,,,,,,,,,,,,,1500 indoor,1500 indoors ,5000 outdoor,5000 outdoors ,,,10 personal gatherings; 350 lunch/dinner for weddings,weddings
,,,,,,,,,,,,,,,,,,,,,,,,,,4000 outdoors,4000 outdoors ,small events,some events ,,,Ramadan,religion
,,,,,,,,,,,,,,,,,,,,,,,,,,75 outdoors,75 outdoors ,all  sports,some gatherings,,,FILL TARGET,
,,,,,,,,,,,,,,,,,,,,,,,,,,50% indoors,50% capacity indoors,Village events,some gatherings,,,funerals >20,20 funerals 
,,,,,,,,,,,,,,,,,,,,,,,,,,funerals 10,,large social gatherings,some gatherings,,,dining areas,
,,,,,,,,,,,,,,,,,,,,,,,,,,Cricket,some events ,sports activities,some gatherings,,,restaurants,
,,,,,,,,,,,,,,,,,,,,,,,,,,Holi,public holiday ,religious practices and activities in public areas,some gatherings,,,unvaccinated,unvaccinated 
,,,,,,,,,,,,,,,,,,,,,,,,,,Religious events,some events ,Film,,,,>200 weddings,200 weddings 
,,,,,,,,,,,,,,,,,,,,,,,,,,All gatherings >1000 people,1000,Friday prayers outside of major cities,some gatherings,,,Public gatherings,all
,,,,,,,,,,,,,,,,,,,,,,,,,,New Year celebrations,public holiday ,daily prayers,some gatherings,,,25 weddings and funerals,"25 weddings, 25 funerals"
,,,,,,,,,,,,,,,,,,,,,,,,,,Protests,some gatherings ,all large public gatherings,,,,weddings 50% capacity,50% capacity weddings 
,,,,,,,,,,,,,,,,,,,,,,,,,,Eid al Adha prayers,some gatherings ,wakes,,,,funerals 100,100 funerals 
,,,,,,,,,,,,,,,,,,,,,,,,,,permits,,Choirs,,,,All events,all
,,,,,,,,,,,,,,,,,,,,,,,,,,Indoor events,,Bands,,,,Large gatherings,
,,,,,,,,,,,,,,,,,,,,,,,,,,Outdoor rallies,"outdoors, some events ",Purim: 10 indoors,"10 indoors, public holiday ",,,Marriages,weddings 
,,,,,,,,,,,,,,,,,,,,,,,,,,200 cultural events,"200, some events ",Church services,some gatherings,,,all >15,15
,,,,,,,,,,,,,,,,,,,,,,,,,,400 sports,"400, some events ",hospital visits,,,,funerals <100,100 funerals 
,,,,,,,,,,,,,,,,,,,,,,,,,,1500 outdoors,1500 outdoors,churchs,,,,Outdoor non-contact sports and activities,sports 
,,,,,,,,,,,,,,,,,,,,,,,,,,Tournaments/spectators not allowed,some events ,social gathergins,some gatherings,,,leisure,
,,,,,,,,,,,,,,,,,,,,,,,,,,25 sports,25 some events ,200 wedding,,,,wake 30,30 funerals 
,,,,,,,,,,,,,,,,,,,,,,,,,,25 religious,25 some events ,200 funerals,,,,graveside 50,50 burials 
,,,,,,,,,,,,,,,,,,,,,,,,,,QR code,covid-pass ,Trainings and Meetings,some gatherings ,,,wedding venue 50%,50% capacity weddings 
,,,,,,,,,,,,,,,,,,,,,,,,,,trade-fairs,,3000,3000,,,all gatheringa,all
,,,,,,,,,,,,,,,,,,,,,,,,,,30 events,30,Children's play venues,,,,>6 outdoors,6 outdoors 
,,,,,,,,,,,,,,,,,,,,,,,,,,indoor 50% capacity,50% capacity indoors ,vaccinated individuals,vaccinated ,,,outdoor gatherings,outdoors 
,,,,,,,,,,,,,,,,,,,,,,,,,,outdoor maximum capacity,100% capacity outdoors ,unrestricted if vaccinater,vaccinated ,,,>10 indoors,10 indoors 
,,,,,,,,,,,,,,,,,,,,,,,,,,outdoor: 250,250 outdoors ,>50 (religion),"50, some gatherings ",,,>25 outdoors,25 outdoors 
,,,,,,,,,,,,,,,,,,,,,,,,,,indoor:  200,200 indoors ,<500 outdoor,500 outdoors ,,,faith-based,religion
