unique_1.4,corrected_1.4,unique_4.1.1,corrected_4.1.1,unique_4.1.2,corrected_4.1.2,unique_4.2.1,corrected_4.2.1,unique_4.2.2,corrected_4.2.2,unique_4.5.1,corrected_4.5.1,unique_4.5.2,corrected_4.5.2,unique_4.5.3,corrected_4.5.3,unique_4.5.4,corrected_4.5.4,unique_5.3,corrected_5.3,unique_5.5,corrected_5.5,unique_5.7,corrected_5.7,unique_5.9,corrected_5.9,unique_4.3.4,corrected_4.3.4,unique_4.3.3, corrected_4.3.3,unique_4.3.1,corrected_4.3.1,unique_4.3.2,corrected_4.3.2
all travellers,non-residents,all educatio,all education,not covid,non-covid,50,,non-essential travel,,non-essential,non-essential travel,non- essential travel,,asymptomatic,other,tranel,Inter-regional travel,state,,testing,pcr-test,PCR tests,pcr-test,baltic region,Baltic region,250,250,sports,some gatherings,9,9,>2,2
outdoor space,outdoor spaces,post secondary schools,post-secondary schools,non-covid measure,non-covid,office,offices,entertinament,entertainment,50% capacity,public transport,stay at home zones,"stay at home, zones",New South Wales,New South Wales,inter-regonal transport,Inter-regional transport,non-symptomatic,,state,,US,US,baltic states,Baltic region,public event,,4,5,>15,15,NA,
religious,businesses,antigen tests,screening,kindergartdens,kindergarten,non essential business,non-essential businesses,pcr-test,screening,partial curfew,,children,age group,QLD,Queensland,news,news,pcr test,pcr-test,PCR- test,pcr-test,vietnam,Vietnam,low-risk countries,,3,3,<10,10,12,12,Weddings,weddings
>11,age group,kindergarterns,kindergarten,all schoools,all schools,some businesses,some businesses,restaurants,hospitality,<20,,screening,screening,WA,Western Australia,,,eu citizens,EU,recovered,covid-pass,multiple countries; UK,"multiple countries, UK",brazil and south africa,"Brazil, South africa",>2,2,>25,25,6 indoors,6 indoors,50 weddings,50 weddings
tansport,transport,higher education,post-secondary schools,secondary shcools,secondary schools,entertainmen,entertainment,non-essential retail,retail,inter-regonal transport,inter-regional transport,borders,,testing,pcr-test,,,high -risk countries,high-risk countries,rapid-test,antigen test,Porugal,Portugal,multiple countries. Most borders,multiple borders,public events,,6,6,non-family,,baptism,baptism
private spaces,indoor spaces,secondary scchools,secondary schools,one college,"post-secondary schools, zones",entertainent,entertainment,hospitalitybeauty,"beauty, hospitality",unvaccinated,unvaccinated,all travellers,,non-resident,non-residents,,,Students,education,qurantine,quarantine,all travellers,all countries,PCR-test,pcr-test,mass gathering,all gatherings ,500,500,>8,8,households,household
cases,symptomatic,post-secondary schoos,post-secondary schools,pcr-test,screening,healthcare,health,education,,multiple areas,zones,public transport,,hubei,Hubei,,,United Kingdom,UK,vaccination certificate,vaccinated,all shipping,other,Irak,Iraq,mass gatherings,all gatherings ,?500,500,<10,10,baptisms,baptism
indoors spaces,indoor spaces,zone,zones,primary schools. Other,"primary schools, other",screening,screening,enertainement,entertainment,pcr test,screening,funerals,,Shanxi,Shanxi,,,multple countries,multiple countries,pcr-tests,pcr-test,europe,EU,laos,Laos,>5,5,religion,some gatherings,bubble only,,0 indoor,0 indoors 
crowded public spaces,public spaces,essential workers,staff,prmioary schools,primary schools,entertaiment,entertainment,multiple,some businesses,masks,,variant of concern,zones,low-risk areas,multiple areas,,,All flights,,non-Schengen,non-Schengen,non-EU countries,non-EU,mutiple borders,multiple borders,30,30,religious,some gatherings,vaccinated,vaccinated ,50 funerals,50 funerals
non-residents,non-residents,students,,others,other,entertainments,entertainment,non-essential busineeses,non-essential businesses,inter-region travel,inter-regional travel,drill,,qingdao city,Qingdao,,,non-vaccinated,unvaccinated,business travel,business,multiplecountries,multiple countries,Sierra-Leone,Sierra-Leone,200,200,200,200,>50,50,>6,6
clinically vulnerable,vunerable groups,high school,secondary schools,seconadry schools,secondary schools,zone,zones,entertainment fitness,"entertainment, fitness",checkpoints,road closures,construction personel,,Longchuan,Lonhcguan,,,multple countires,multiple countries,self-isolation,quarantine,commercial,other,tunsia,Tunisia,0 indoors,0 indoors ,>100,100,holiday gatherings,,5 weddings,5 weddings
religion,businesses,summer schools,other,Kindergarten,kindergarten,essential bussinesses,essential businesses,entertaainment,entertainment,non-essentional travel,non-essential travel,state of Emergency,,contacts,other,,,non citizens,non-citizens,screeening,screening,multiple ountries,multiple countries,guinea bissau,Guinea-Bissau,>50,50,1000,1000,social bubbles,household,religious,religion
children,age group,al schools,all schools,post secondary,post-secondary schools,entertinament,entertainment,entertaiment,entertainment,high-risk groups,vunerable groups,all education,,yunnan,Yunnan,,,all travllers,all travellers,non-vaccinated,unvaccinated,postal,other,south america,South America,>25,25,household,household,indoor gatherings,indoor gatherings,0 indoors,0 indoors 
fitness,businesses,kingergarten,kindergarten,child care centres,childcare centres,Hopsitality,hospitality,reatil,retail,students,students,moscow,,kashgar,Kashgar,,,non-EU,non-EU,mulitple countries,multiple countries,seasonal workers,other,Cypriot Turkish land border,,sports events,some events ,>20,20,>6 gardens,6,<10,10
>12 yrs,,kinergarten,kindergarten,COVID pass,covid-pass,esential business,essential businesses,non-essential services,non-essential businesses,medium-risk area,multiple areas,saint petersburg,,inter-regional transport,"public transport, private transport",,,recovered,covid-pass,Shenzhen,China (Shenzhen),EEA,EEA,Norway and Finland,"Norway, Finland",50%,50% capacity ,10 indoor,10 indoors,>8 from 2 households indoors,8,150,150
fines,,nursery schools,kindergarten,secondary shools,secondary schools,wholesale,retail,non-essnetial businesses,non-essential businesses,high-risk area,multiple areas,everyone,,tennessee,Tennessee,,,families,family,neighbouring countries,neighbouring countries,multiple countried,multiple countries,non-business,non-essential travel,15,15,5 indoor,5 indoors ,5 indoors,5 indoors,>50,50
age groups,age group,preschools,kindergarten,yes,,entertainement,entertainment,healthcare,health,stay at home,non-essential travel,inter-regional travel,,non-esssential travel,non-essential travel,,,event,,facility-based,,single country; Russia,"single country, Russia",tanzania,Tanzania,Sport,some events ,50%,50% capacity ,<20,20,20 funerals,20 funerals
men,other,age groups,,all  education,all education,entertainemnt,entertainment,routism,tourism,vulnerable groups,vunerable groups,intra regional,,South Australia,South Australia,,,age groups,,all travelers,all travellers,all education,,covid pass,covid-pass,300,300,50 outdoor,50 outdoors,news,news,>3,3
sports,exercise,Universities,post-secondary schools,kindergten,kindergarten,social services,health,enetertainment,entertainment,all travellers,non-essential travel,high-risk individuals,vunerable groups,Greater Melbourne,Greater Melbourne,,,neighbouring countries,neighbouring countries,Guangzhou areas,china (Guangzhou),exit only,,inter-regional transport,,festival,some events ,50 indoor,50 indoors ,<9,9,20 (funerals),20 funerals
masks,,COVID-19 pass,covid-pass,private schools,other,transport,other,entertainemnt,entertainment,all borders,,covid pass,covid-pass,forms. Pcr-test,"forms, pcr-test",,,non-eu countries,non-EU,business travellers,business,Taiwan,Taiwan,multiple borders; Brazil,"multiple borders, brazil",All events,all events ,150,150 indoors,all gatheringa,all gatherings,sports,sports
vaccination status,vaccinated,all schoools,all schools,zone,zones,hopitality,hospitality,places of worship,religion,all transport,"public transport, private transport",partial lockdown,partial curfew,pcr-test. Multiple areas - QLD & NSW,"pcr-test, multiple areas",,,foreign nationals,residents,vaccine,vaccinated,symptomatic,other,tlokweng,Botswana (Tlokweng),vaccinated,vaccinated ,10 indoors,10 indoors,>100,100,>15,15
> 6 yrs,,all schhols,all schools,post-secondary education,post-secondary schools,all busineses,all businesses,hairdressers,beauty,age groups,age group,sundays,weekend curfew,greater Sydney,Greater Sydney,,,business travelers,business,unvaccinated travellers,unvaccinated,Dubai,Dubai,essential travel,essential travel,cultural,some events ,7,7,>20,20,8,8
open spaces,outdoor spaces,senior high schools,secondary schools,special needs education,other,Businesses,all businesses,offies,offices,business,,full crufew,full curfew,WA and Sydney,"Western Australia, Sydney",,,low risk countries,low-risk countries,Vaccine,vaccinated,Vaccine passport,covid-pass,all shipping,other,5%,5% capacity ,50 indoors,50 indoors ,60,60,religion,religion
>8,,graduating year,,all educatio,all education,hospitlity,hospitality,justice,offices,zone,zones,symptomatic,,singel area,single area,,,single country,single country,education,education,medium-risk countries,multiple countries,all travel (border communities),all borders,150,150,>250,250,500,500,10 weddings,10 weddings
trasport,transport,post-secondary school,post-secondary schools,all travellers,,government,offices,alcohol,other,inter-regional-travel,inter-regional travel, stay at home,stay at home,greater Perth,Greater Perth,,,brazil,Brazil,random sampling,screening,100 travelers max,other,iraq (kurdistan),Iraq (Kurdistan),>250,250,5 indoors,5 indoors ,15 outdoors,15 outdoors,30 funerals,30 funerals
outdoor spaces spaces,outdoor spaces,technical,other,Nursery school closures,kindergarten,retails,retail,recreational,recreation,domestic travel,inter-regional travel,no measure,no policy,greater Melbourne,Greater Melbourne,,,antigen test,,two dose,vaccinated,mulutple countries,multiple countries, brazil,Brazil,>100,100,vaccinated,vaccinated ,four households,4 households,2 households,2 households
indoorspaces,indoor spaces,vocational schools,other,Primary school closures,primary schools,retail,retail,beuaty,beauty,inter-regiional transport,inter-regional travel,clinically vulnerable,vulnerable groups,multiple areas,multiple areas,,,vaccines,vaccinated,single dose,vaccinated,brazil,Brazil, non-EU,non-EU,5000,5000,50 outdoors,50 outdoors,Private Gatherings,all gatherings,>20,20
isolation,symptomatic,vaccinated adults,vaccinated,Secondary school closures,secondary schools,50%,,nonessential business,non-essential businesses,Wuhan,wuhan,vunerable groups,vulnerable groups,VIC,Victoria,,,Hubei,Hubei,sympomatic,symptomatic,mutliple countries,multiple countries, pcr-test,pcr-test,50% capacity,50% capacity ,public gatherings,some gatherings ,20 indoors,20 indoors,10 funerals,10 funerals
public trasnsport,transport,exams,,Post-secondary school closures,post-secondary schools,ospitality,hospitality,recovered,covid-pass,civil servants,other,>60,"age group, 60",covid pass,covid-pass,,,covid pass,covid-pass,family,other,Tunisa,Tunisia,single country ,single country,festivals,some events ,NA,,childcare,,10 (funerals),10 funerals
fronline workers,staff,secondaryeducation,secondary schools,colleges,post-secondary schools,retial,retail,Tourism & Hospitality,"hospitality, tourism",education,students,covid-pass,forms,road closures,other,,,vietnam,Vietnam,Macao,China (Macao),the Dominican Republic,the Dominican Republic,non-residents,non-residents,large,all events ,100 outdoor,100 outdoors,>10 2 households,10,40,40
syptomatic,symptomatic,alleducation,all education,off campus,post-secondary schools,Worship centers,religion,entretainment,entertainment,inter-regional non-essential travel,"inter-regional travel, non-essential travel",forms,forms,<12 years old,,,,students,education,Shenzhen areas,China (Shenzhen),and Bolivia,Bolivia,Luxenbourg,"Luxembourg, single country",Sports,some events ,75,75,overnight stays,,250,250
outbreak,symptomatic,child care,childcare centres,University,post-secondary schools,non- esential business,non-essential businesses,stay at home,,rapid test,screening,elderly,"age group, vulnerable group",dependents,other,,,self-isolation,,Foshan areas,China (Foshan),caribbean,Caribbean,OPT (Gaza Strip),"OPT, single country",75,75,Religious,some gatherings,all gatherings indoors,indoor ,and funerals,funerals
sympomatic,symptomatic,kindergartden,kindergarten,elementary schools,primary schools,non-essential busineses,non-essential businesses,beaity,beauty,public tranpsort,public transport,no policy,no policy,asylum,other,,,low-risk,low-risk countries,Wenzhou,China (Wenzhou),nw zealand,New Zealand,Botswana (Tlokweng),"Botswana, single country",4,4,>3,3,in gardens,,200,200
indoor spaces outdoor spaces,public spaces,all education zones,"all education, zones",all schols,all schools,events,venues,Enterinment,entertainment,covid pass.,covid-pass,private transport,Private transport,nanjing,Nanjing,,,high-risk,high-risk countries,areas in Dongguan,China (Dongguan),gulf states,Arab states of the Perisan Gulf,non essential travel,non-essential travel,religious,some gatherings ,>15,15,>0,all ,>25,25
public tansport,transport,ckindergarten,kindergarten,public schools,other,essentil businesses,essential businesses,hospitaltiy,hospitality,symptomatic,other,inter-regional transport,inter-regional transport,Yunnan Dehong,Yunnan Dehong,,,symptoms,symptomatic travellers,zones Guangdong,China (Guangdong),all air travellers,,some borders,multiple borders,cultural events,some events ,8,8,indoors >50,50 indoors,5 outdoor,5 outdoors
contacts,symptomatic,quarantine,,vaccination,vaccinated,non essential businesses,non-essential businesses,some non-essential businesses,some businesses,non-vaccinated,unvaccinated,news,news,meduim-risk areas,multiple areas,,,multile countries,multiple countries,Vietnam,Vietnam,All flights except cargo and repatriation,all countries,mutlple borders,multiple borders,religion,some gatherings ,5 outdoor,5 outdoors ,outdoors >100,100 outdoors,25 funerals,15 funerals
>12 public spaces,public spaces,al education,all education,universities,post-secondary schools,non-essentilal businesses,non-essential businesses,social,health,vaccination certificate,covid-pass,stay at home partial curfew,"stay at home, partial curfew",technology enhanced,other,,,all borders,neighbouring countries,East Timor,Timor-Leste,most countries,multiple countries,all bordres,All borders,Sports events,some events ,100 outdoors,1000 outdoors,Home visits,,25 weddings,25 weddings
care homes,health,foreign students,,secondary schools (upper),secondary schools,others,other,political gatherings,,non- essential travel,non-essential travel,patial curfew,partial curfew,quaranting,quarantine,,,single coumtry,single country,All travelers,all travellers,entry cap,other,Kazakstan,Kazakhstan,50 indoor,50 indoors,>10 indoor,10 indoors ,>20 home gatherings,20,50 outdoor,50 outdoors
